"Stock","Best_Model","AIC_17_2","AIC_12_3","AIC_7_4","Shapiro_pvalue","BoxLjung_pvalue","ArchTest_pvalue"
"Aselsan_stock_data.csv","ARMA(12,3)",-18032.2659694531,-18045.3734036353,-18041.093511532,3.04207101052822e-39,0.999991785841791,3.42774898585383e-60
"Broadcom_stock_data.csv","ARMA(7,4)",-18214.3248059395,-18209.9477671052,-18219.9553608235,1.56122812448599e-37,0.974167321672518,5.61821735386219e-72
"Intel_stock_data.csv","ARMA(17,2)",-19215.6283451308,-19203.0019720005,-19209.1078941577,3.19442360160286e-46,0.999977831146895,9.56418166907644e-27
"Microsoft_stock_data.csv","ARMA(7,4)",-21058.3653140169,-21069.3922491135,-21069.4605628108,1.48130700544704e-36,0.998895778764776,5.32383764818117e-96
"Northrop Grumman_stock_data.csv","ARMA(7,4)",-21843.059907803,-21841.1327639394,-21847.0465506083,4.11445137801123e-39,0.954848867516127,2.789068270066e-127
"Oracle_stock_data.csv","ARMA(7,4)",-20641.5848746148,-20653.6724307188,-20656.4247394408,6.98653416099535e-47,0.980580449073572,2.23045108179372e-43
"Qualcomm_stock_data.csv","ARMA(7,4)",-18974.2889929375,-18969.8289832398,-18988.1038453295,8.09854696655873e-44,0.842417368165974,1.22083857660499e-32
"Saab AB_stock_data.csv","ARMA(7,4)",-19325.1308171764,-19324.9123606084,-19336.4062896295,5.59986731049514e-45,0.965466458066353,0.000848915484904878
"Suncore Energy_stock_data.csv","ARMA(7,4)",-18358.5645455986,-18357.499917539,-18361.7615443983,1.34915321707015e-41,0.229024960197883,5.41333299703252e-144
"TechnipFMC_stock_data.csv","ARMA(7,4)",-16860.0584882731,-16865.6171749425,-16871.1319251654,1.68938248114661e-39,0.953544145797036,1.5367680154377e-151
"Woodside Energy_stock_data.csv","ARMA(7,4)",-20491.0241097374,-20491.7073117481,-20498.3338717929,1.93358289515499e-37,0.434019901653757,7.0153187475133e-131
